"country","continent","year","lifeExp","pop","gdpPercap","meanSchool"
"Afghanistan","Asia",1972,36.088,13079460,739.9811058,1.1
"Afghanistan","Asia",1977,38.438,14880372,786.11336,1.4
"Afghanistan","Asia",1982,39.854,12881816,978.0114388,1.8
"Afghanistan","Asia",1987,40.822,13867957,852.3959448,2.1
"Afghanistan","Asia",1992,41.674,16317921,649.3413952,2.3
"Afghanistan","Asia",1997,41.763,22227415,635.341351,2.6
"Afghanistan","Asia",2002,42.129,25268405,726.7340548,2.9
"Afghanistan","Asia",2007,43.828,31889923,974.5803384,3.2
"Albania","Europe",1972,67.69,2263554,3313.422188,6.9
"Albania","Europe",1977,68.93,2509048,3533.00391,7.7
"Albania","Europe",1982,70.42,2780097,3630.880722,8.4
"Albania","Europe",1987,72,3075321,3738.932735,9.1
"Albania","Europe",1992,71.581,3326498,2497.437901,9.6
"Albania","Europe",1997,72.95,3428038,3193.054604,10.1
"Albania","Europe",2002,75.651,3508512,4604.211737,10.5
"Albania","Europe",2007,76.423,3600523,5937.029526,10.9
"Algeria","Africa",1972,54.518,14760787,4182.663766,2.1
"Algeria","Africa",1977,58.014,17152804,4910.416756,2.7
"Algeria","Africa",1982,61.368,20033753,5745.160213,3.4
"Algeria","Africa",1987,65.799,23254956,5681.358539,4.3
"Algeria","Africa",1992,67.744,26298373,5023.216647,5.2
"Algeria","Africa",1997,69.152,29072015,4797.295051,5.9
"Algeria","Africa",2002,70.994,31287142,5288.040382,6.6
"Algeria","Africa",2007,72.301,33333216,6223.367465,7.2
"Angola","Africa",1972,37.928,5894858,5473.288005,2.5
"Angola","Africa",1977,39.483,6162675,3008.647355,3.1
"Angola","Africa",1982,39.942,7016384,2756.953672,3.8
"Angola","Africa",1987,39.906,7874230,2430.208311,4.4
"Angola","Africa",1992,40.647,8735988,2627.845685,4.8
"Angola","Africa",1997,40.963,9875024,2277.140884,5.3
"Angola","Africa",2002,41.003,10866106,2773.287312,5.7
"Angola","Africa",2007,42.731,12420476,4797.231267,6
"Argentina","Americas",1972,67.065,24779799,9443.038526,7.3
"Argentina","Americas",1977,68.481,26983828,10079.02674,8
"Argentina","Americas",1982,69.942,29341374,8997.897412,8.6
"Argentina","Americas",1987,70.774,31620918,9139.671389,9.1
"Argentina","Americas",1992,71.868,33958947,9308.41871,9.6
"Argentina","Americas",1997,73.275,36203463,10967.28195,10.1
"Argentina","Americas",2002,74.34,38331121,8797.640716,10.6
"Argentina","Americas",2007,75.32,40301927,12779.37964,11
"Australia","Oceania",1972,71.93,13177000,16788.62948,10.2
"Australia","Oceania",1977,73.49,14074100,18334.19751,10.7
"Australia","Oceania",1982,74.74,15184200,19477.00928,11.1
"Australia","Oceania",1987,76.32,16257249,21888.88903,11.4
"Australia","Oceania",1992,77.56,17481977,23424.76683,11.7
"Australia","Oceania",1997,78.83,18565243,26997.93657,11.9
"Australia","Oceania",2002,80.37,19546792,30687.75473,12.1
"Australia","Oceania",2007,81.235,20434176,34435.36744,12.3
"Austria","Europe",1972,70.63,7544201,16661.6256,9.5
"Austria","Europe",1977,72.17,7568430,19749.4223,10.1
"Austria","Europe",1982,73.18,7574613,21597.08362,10.5
"Austria","Europe",1987,74.94,7578903,23687.82607,10.9
"Austria","Europe",1992,76.04,7914969,27042.01868,11.2
"Austria","Europe",1997,77.51,8069876,29095.92066,11.5
"Austria","Europe",2002,78.98,8148312,32417.60769,11.8
"Austria","Europe",2007,79.829,8199783,36126.4927,12.1
"Bahrain","Asia",1972,63.3,230800,18268.65839,4.5
"Bahrain","Asia",1977,65.593,297410,19340.10196,5.6
"Bahrain","Asia",1982,69.052,377967,19211.14731,6.7
"Bahrain","Asia",1987,70.75,454612,18524.02406,7.7
"Bahrain","Asia",1992,72.601,529491,19035.57917,8.5
"Bahrain","Asia",1997,73.925,598561,20292.01679,9.3
"Bahrain","Asia",2002,74.795,656397,23403.55927,9.9
"Bahrain","Asia",2007,75.635,708573,29796.04834,10.6
"Bangladesh","Asia",1972,45.252,70759295,630.2336265,2.6
"Bangladesh","Asia",1977,46.923,80428306,659.8772322,3.2
"Bangladesh","Asia",1982,50.009,93074406,676.9818656,3.7
"Bangladesh","Asia",1987,52.819,103764241,751.9794035,4.1
"Bangladesh","Asia",1992,56.018,113704579,837.8101643,4.5
"Bangladesh","Asia",1997,59.412,123315288,972.7700352,4.9
"Bangladesh","Asia",2002,62.013,135656790,1136.39043,5.3
"Bangladesh","Asia",2007,64.062,150448339,1391.253792,5.6
"Belgium","Europe",1972,71.44,9709100,16672.14356,8.9
"Belgium","Europe",1977,72.8,9821800,19117.97448,9.8
"Belgium","Europe",1982,73.93,9856303,20979.84589,10.6
"Belgium","Europe",1987,75.35,9870200,22525.56308,11.3
"Belgium","Europe",1992,76.46,10045622,25575.57069,11.8
"Belgium","Europe",1997,77.53,10199787,27561.19663,12.2
"Belgium","Europe",2002,78.32,10311970,30485.88375,12.6
"Belgium","Europe",2007,79.441,10392226,33692.60508,12.9
"Benin","Africa",1972,47.014,2761407,1085.796879,1.8
"Benin","Africa",1977,49.19,3168267,1029.161251,2.2
"Benin","Africa",1982,50.904,3641603,1277.897616,2.6
"Benin","Africa",1987,52.337,4243788,1225.85601,3.1
"Benin","Africa",1992,53.919,4981671,1191.207681,3.5
"Benin","Africa",1997,54.777,6066080,1232.975292,4
"Benin","Africa",2002,54.406,7026113,1372.877931,4.4
"Benin","Africa",2007,56.728,8078314,1441.284873,4.7
"Bolivia","Americas",1972,46.714,4565872,2980.331339,5.1
"Bolivia","Americas",1977,50.023,5079716,3548.097832,5.9
"Bolivia","Americas",1982,53.859,5642224,3156.510452,6.8
"Bolivia","Americas",1987,57.251,6156369,2753.69149,7.6
"Bolivia","Americas",1992,59.957,6893451,2961.699694,8.3
"Bolivia","Americas",1997,62.05,7693188,3326.143191,8.9
"Bolivia","Americas",2002,63.883,8445134,3413.26269,9.5
"Bolivia","Americas",2007,65.554,9119152,3822.137084,10
"Bosnia and Herzegovina","Europe",1972,67.45,3819000,2860.16975,5.6
"Bosnia and Herzegovina","Europe",1977,69.86,4086000,3528.481305,6.4
"Bosnia and Herzegovina","Europe",1982,70.69,4172693,4126.613157,7.2
"Bosnia and Herzegovina","Europe",1987,71.14,4338977,4314.114757,8.1
"Bosnia and Herzegovina","Europe",1992,72.178,4256013,2546.781445,9
"Bosnia and Herzegovina","Europe",1997,73.244,3607000,4766.355904,9.7
"Bosnia and Herzegovina","Europe",2002,74.09,4165416,6018.975239,10.3
"Bosnia and Herzegovina","Europe",2007,74.852,4552198,7446.298803,10.9
"Botswana","Africa",1972,56.024,619351,2263.611114,2.2
"Botswana","Africa",1977,59.319,781472,3214.857818,2.8
"Botswana","Africa",1982,61.484,970347,4551.14215,3.4
"Botswana","Africa",1987,63.622,1151184,6205.88385,4.1
"Botswana","Africa",1992,62.745,1342614,7954.111645,4.9
"Botswana","Africa",1997,52.556,1536536,8647.142313,5.6
"Botswana","Africa",2002,46.634,1630347,11003.60508,6.3
"Botswana","Africa",2007,50.728,1639131,12569.85177,7
"Brazil","Americas",1972,59.504,100840058,4985.711467,3.5
"Brazil","Americas",1977,61.489,114313951,6660.118654,4.1
"Brazil","Americas",1982,63.336,128962939,7030.835878,4.8
"Brazil","Americas",1987,65.205,142938076,7807.095818,5.5
"Brazil","Americas",1992,67.057,155975974,6950.283021,6.2
"Brazil","Americas",1997,69.388,168546719,7957.980824,6.8
"Brazil","Americas",2002,71.006,179914212,8131.212843,7.5
"Brazil","Americas",2007,72.39,190010647,9065.800825,8.1
"Bulgaria","Europe",1972,70.9,8576200,6597.494398,9
"Bulgaria","Europe",1977,70.81,8797022,7612.240438,9.6
"Bulgaria","Europe",1982,71.08,8892098,8224.191647,10.2
"Bulgaria","Europe",1987,71.34,8971958,8239.854824,10.7
"Bulgaria","Europe",1992,71.19,8658506,6302.623438,11.2
"Bulgaria","Europe",1997,70.32,8066057,5970.38876,11.6
"Bulgaria","Europe",2002,72.14,7661799,7696.777725,11.9
"Bulgaria","Europe",2007,73.005,7322858,10680.79282,12.3
"Burkina Faso","Africa",1972,43.591,5433886,854.7359763,0.7
"Burkina Faso","Africa",1977,46.137,5889574,743.3870368,0.9
"Burkina Faso","Africa",1982,48.122,6634596,807.1985855,1.2
"Burkina Faso","Africa",1987,49.557,7586551,912.0631417,1.5
"Burkina Faso","Africa",1992,50.26,8878303,931.7527731,1.8
"Burkina Faso","Africa",1997,50.324,10352843,946.2949618,2.1
"Burkina Faso","Africa",2002,50.65,12251209,1037.645221,2.5
"Burkina Faso","Africa",2007,52.295,14326203,1217.032994,2.8
"Burundi","Africa",1972,44.057,3529983,464.0995039,1.6
"Burundi","Africa",1977,45.91,3834415,556.1032651,2
"Burundi","Africa",1982,47.471,4580410,559.603231,2.4
"Burundi","Africa",1987,48.211,5126023,621.8188189,2.8
"Burundi","Africa",1992,44.736,5809236,631.6998778,3.1
"Burundi","Africa",1997,45.326,6121610,463.1151478,3.5
"Burundi","Africa",2002,47.36,7021078,446.4035126,3.9
"Burundi","Africa",2007,49.58,8390505,430.0706916,4.3
"Cambodia","Asia",1972,40.317,7450606,421.6240257,3.1
"Cambodia","Asia",1977,31.22,6978607,524.9721832,3.7
"Cambodia","Asia",1982,50.957,7272485,624.4754784,4.2
"Cambodia","Asia",1987,53.914,8371791,683.8955732,4.6
"Cambodia","Asia",1992,55.803,10150094,682.3031755,5
"Cambodia","Asia",1997,56.534,11782962,734.28517,5.3
"Cambodia","Asia",2002,56.752,12926707,896.2260153,5.7
"Cambodia","Asia",2007,59.723,14131858,1713.778686,6.1
"Cameroon","Africa",1972,47.049,7021028,1684.146528,3.7
"Cameroon","Africa",1977,49.355,7959865,1783.432873,4.5
"Cameroon","Africa",1982,52.961,9250831,2367.983282,5.2
"Cameroon","Africa",1987,54.985,10780667,2602.664206,6
"Cameroon","Africa",1992,54.314,12467171,1793.163278,6.6
"Cameroon","Africa",1997,52.199,14195809,1694.337469,7.2
"Cameroon","Africa",2002,49.856,15929988,1934.011449,7.7
"Cameroon","Africa",2007,50.43,17696293,2042.09524,8.1
"Canada","Americas",1972,72.88,22284500,18970.57086,10.6
"Canada","Americas",1977,74.21,23796400,22090.88306,11.7
"Canada","Americas",1982,75.76,25201900,22898.79214,12.5
"Canada","Americas",1987,76.86,26549700,26626.51503,13.2
"Canada","Americas",1992,77.95,28523502,26342.88426,13.6
"Canada","Americas",1997,78.61,30305843,28954.92589,14.1
"Canada","Americas",2002,79.77,31902268,33328.96507,14.4
"Canada","Americas",2007,80.653,33390141,36319.23501,14.7
"Chad","Africa",1972,45.569,3899068,1104.103987,1.2
"Chad","Africa",1977,47.383,4388260,1133.98495,1.5
"Chad","Africa",1982,49.517,4875118,797.9081006,1.9
"Chad","Africa",1987,51.051,5498955,952.386129,2.3
"Chad","Africa",1992,51.724,6429417,1058.0643,2.7
"Chad","Africa",1997,51.573,7562011,1004.961353,3.2
"Chad","Africa",2002,50.525,8835739,1156.18186,3.6
"Chad","Africa",2007,50.651,10238807,1704.063724,4
"Chile","Americas",1972,63.441,9717524,5494.024437,7.1
"Chile","Americas",1977,67.052,10599793,4756.763836,7.9
"Chile","Americas",1982,70.565,11487112,5095.665738,8.8
"Chile","Americas",1987,72.492,12463354,5547.063754,9.5
"Chile","Americas",1992,74.126,13572994,7596.125964,10.2
"Chile","Americas",1997,75.816,14599929,10118.05318,10.8
"Chile","Americas",2002,77.86,15497046,10778.78385,11.4
"Chile","Americas",2007,78.553,16284741,13171.63885,11.9
"China","Asia",1972,63.11888,862030000,676.9000921,4.8
"China","Asia",1977,63.96736,943455000,741.2374699,5.6
"China","Asia",1982,65.525,1000281000,962.4213805,6.3
"China","Asia",1987,67.274,1084035000,1378.904018,7
"China","Asia",1992,68.69,1164970000,1655.784158,7.5
"China","Asia",1997,70.426,1230075000,2289.234136,8.1
"China","Asia",2002,72.028,1280400000,3119.280896,8.7
"China","Asia",2007,72.961,1318683096,4959.114854,9.1
"Colombia","Americas",1972,61.623,22542890,3264.660041,5
"Colombia","Americas",1977,63.837,25094412,3815.80787,5.7
"Colombia","Americas",1982,66.653,27764644,4397.575659,6.3
"Colombia","Americas",1987,67.768,30964245,4903.2191,6.8
"Colombia","Americas",1992,68.421,34202721,5444.648617,7.2
"Colombia","Americas",1997,70.313,37657830,6117.361746,7.6
"Colombia","Americas",2002,71.682,41008227,5755.259962,8
"Colombia","Americas",2007,72.889,44227550,7006.580419,8.4
"Comoros","Africa",1972,48.944,250027,1937.577675,2
"Comoros","Africa",1977,50.939,304739,1172.603047,2.4
"Comoros","Africa",1982,52.933,348643,1267.100083,2.9
"Comoros","Africa",1987,54.926,395114,1315.980812,3.7
"Comoros","Africa",1992,57.939,454429,1246.90737,4.5
"Comoros","Africa",1997,60.66,527982,1173.618235,5.2
"Comoros","Africa",2002,62.974,614382,1075.811558,5.9
"Comoros","Africa",2007,65.152,710960,986.1478792,6.5
"Congo, Dem. Rep.","Africa",1972,45.989,23007669,904.8960685,4.7
"Congo, Dem. Rep.","Africa",1977,47.804,26480870,795.757282,5.5
"Congo, Dem. Rep.","Africa",1982,47.784,30646495,673.7478181,6.3
"Congo, Dem. Rep.","Africa",1987,47.412,35481645,672.774812,6.9
"Congo, Dem. Rep.","Africa",1992,45.548,41672143,457.7191807,7.4
"Congo, Dem. Rep.","Africa",1997,42.587,47798986,312.188423,7.8
"Congo, Dem. Rep.","Africa",2002,44.966,55379852,241.1658765,8.1
"Congo, Dem. Rep.","Africa",2007,46.462,64606759,277.5518587,8.3
"Congo, Rep.","Africa",1972,54.907,1340458,3213.152683,5.2
"Congo, Rep.","Africa",1977,55.625,1536769,3259.178978,6.2
"Congo, Rep.","Africa",1982,56.695,1774735,4879.507522,7.2
"Congo, Rep.","Africa",1987,57.47,2064095,4201.194937,8.1
"Congo, Rep.","Africa",1992,56.433,2409073,4016.239529,8.6
"Congo, Rep.","Africa",1997,52.962,2800947,3484.164376,9
"Congo, Rep.","Africa",2002,52.97,3328795,3484.06197,9.4
"Congo, Rep.","Africa",2007,55.322,3800610,3632.557798,9.6
"Costa Rica","Americas",1972,67.849,1834796,5118.146939,5.4
"Costa Rica","Americas",1977,70.75,2108457,5926.876967,6.2
"Costa Rica","Americas",1982,73.45,2424367,5262.734751,7
"Costa Rica","Americas",1987,74.752,2799811,5629.915318,7.8
"Costa Rica","Americas",1992,75.713,3173216,6160.416317,8.5
"Costa Rica","Americas",1997,77.26,3518107,6677.045314,9.2
"Costa Rica","Americas",2002,78.123,3834934,7723.447195,9.8
"Costa Rica","Americas",2007,78.782,4133884,9645.06142,10.3
"Cote d'Ivoire","Africa",1972,49.801,6071696,2378.201111,2.1
"Cote d'Ivoire","Africa",1977,52.374,7459574,2517.736547,2.7
"Cote d'Ivoire","Africa",1982,53.983,9025951,2602.710169,3.2
"Cote d'Ivoire","Africa",1987,54.655,10761098,2156.956069,3.9
"Cote d'Ivoire","Africa",1992,52.044,12772596,1648.073791,4.4
"Cote d'Ivoire","Africa",1997,47.991,14625967,1786.265407,4.9
"Cote d'Ivoire","Africa",2002,46.832,16252726,1648.800823,5.4
"Cote d'Ivoire","Africa",2007,48.328,18013409,1544.750112,5.8
"Croatia","Europe",1972,69.61,4225310,9164.090127,7.1
"Croatia","Europe",1977,70.64,4318673,11305.38517,8
"Croatia","Europe",1982,70.46,4413368,13221.82184,8.8
"Croatia","Europe",1987,71.52,4484310,13822.58394,9.4
"Croatia","Europe",1992,72.527,4494013,8447.794873,9.9
"Croatia","Europe",1997,73.68,4444595,9875.604515,10.4
"Croatia","Europe",2002,74.876,4481020,11628.38895,10.8
"Croatia","Europe",2007,75.748,4493312,14619.22272,11.2
"Cuba","Americas",1972,70.723,8831348,5305.445256,7.2
"Cuba","Americas",1977,72.649,9537988,6380.494966,8.1
"Cuba","Americas",1982,73.717,9789224,7316.918107,8.9
"Cuba","Americas",1987,74.174,10239839,7532.924763,9.7
"Cuba","Americas",1992,74.414,10723260,5592.843963,10.3
"Cuba","Americas",1997,76.151,10983007,5431.990415,10.9
"Cuba","Americas",2002,77.158,11226999,6340.646683,11.4
"Cuba","Americas",2007,78.273,11416987,8948.102923,11.8
"Denmark","Europe",1972,73.47,4991596,18866.20721,10.1
"Denmark","Europe",1977,74.69,5088419,20422.9015,11
"Denmark","Europe",1982,74.63,5117810,21688.04048,11.6
"Denmark","Europe",1987,74.8,5127024,25116.17581,12.1
"Denmark","Europe",1992,75.33,5171393,26406.73985,12.4
"Denmark","Europe",1997,76.11,5283663,29804.34567,12.6
"Denmark","Europe",2002,77.18,5374693,32166.50006,12.8
"Denmark","Europe",2007,78.332,5468120,35278.41874,13
"Djibouti","Africa",1972,44.366,178848,3694.212352,3
"Djibouti","Africa",1977,46.519,228694,3081.761022,3.6
"Djibouti","Africa",1982,48.812,305991,2879.468067,4.2
"Djibouti","Africa",1987,50.04,311025,2880.102568,4.9
"Djibouti","Africa",1992,51.604,384156,2377.156192,5.6
"Djibouti","Africa",1997,53.157,417908,1895.016984,6.3
"Djibouti","Africa",2002,53.373,447416,1908.260867,7
"Djibouti","Africa",2007,54.791,496374,2082.481567,7.6
"Ecuador","Americas",1972,58.796,6298651,5280.99471,5.2
"Ecuador","Americas",1977,61.31,7278866,6679.62326,6.1
"Ecuador","Americas",1982,64.342,8365850,7213.791267,6.9
"Ecuador","Americas",1987,67.231,9545158,6481.776993,7.6
"Ecuador","Americas",1992,69.613,10748394,7103.702595,8.3
"Ecuador","Americas",1997,72.312,11911819,7429.455877,8.9
"Ecuador","Americas",2002,74.173,12921234,5773.044512,9.6
"Ecuador","Americas",2007,74.994,13755680,6873.262326,10.2
"Egypt","Africa",1972,51.137,34807417,2024.008147,4.8
"Egypt","Africa",1977,53.319,38783863,2785.493582,5.8
"Egypt","Africa",1982,56.006,45681811,3503.729636,6.7
"Egypt","Africa",1987,59.797,52799062,3885.46071,7.5
"Egypt","Africa",1992,63.674,59402198,3794.755195,8.2
"Egypt","Africa",1997,67.217,66134291,4173.181797,8.9
"Egypt","Africa",2002,69.806,73312559,4754.604414,9.4
"Egypt","Africa",2007,71.338,80264543,5581.180998,9.8
"El Salvador","Americas",1972,58.207,3790903,4520.246008,3.9
"El Salvador","Americas",1977,56.696,4282586,5138.922374,4.6
"El Salvador","Americas",1982,56.604,4474873,4098.344175,5.3
"El Salvador","Americas",1987,63.154,4842194,4140.442097,6
"El Salvador","Americas",1992,66.798,5274649,4444.2317,6.6
"El Salvador","Americas",1997,69.535,5783439,5154.825496,7.3
"El Salvador","Americas",2002,70.734,6353681,5351.568666,8
"El Salvador","Americas",2007,71.878,6939688,5728.353514,8.6
"Equatorial Guinea","Africa",1972,40.516,277603,672.4122571,4.5
"Equatorial Guinea","Africa",1977,42.024,192675,958.5668124,5.4
"Equatorial Guinea","Africa",1982,43.662,285483,927.8253427,6.2
"Equatorial Guinea","Africa",1987,45.664,341244,966.8968149,6.9
"Equatorial Guinea","Africa",1992,47.545,387838,1132.055034,7.3
"Equatorial Guinea","Africa",1997,48.245,439971,2814.480755,7.7
"Equatorial Guinea","Africa",2002,49.348,495627,7703.4959,8.1
"Equatorial Guinea","Africa",2007,51.579,551201,12154.08975,8.5
"Eritrea","Africa",1972,44.142,2260187,514.3242082,1.3
"Eritrea","Africa",1977,44.535,2512642,505.7538077,1.8
"Eritrea","Africa",1982,43.89,2637297,524.8758493,2.3
"Eritrea","Africa",1987,46.453,2915959,521.1341333,2.9
"Eritrea","Africa",1992,49.991,3668440,582.8585102,3.6
"Eritrea","Africa",1997,53.378,4058319,913.47079,4.3
"Eritrea","Africa",2002,55.24,4414865,765.3500015,5.1
"Eritrea","Africa",2007,58.04,4906585,641.3695236,5.9
"Ethiopia","Africa",1972,43.515,30770372,566.2439442,1
"Ethiopia","Africa",1977,44.51,34617799,556.8083834,1.3
"Ethiopia","Africa",1982,44.916,38111756,577.8607471,1.6
"Ethiopia","Africa",1987,46.684,42999530,573.7413142,2
"Ethiopia","Africa",1992,48.091,52088559,421.3534653,2.4
"Ethiopia","Africa",1997,49.402,59861301,515.8894013,2.8
"Ethiopia","Africa",2002,50.725,67946797,530.0535319,3.2
"Ethiopia","Africa",2007,52.947,76511887,690.8055759,3.5
"Finland","Europe",1972,70.87,4639657,14358.8759,8.7
"Finland","Europe",1977,72.52,4738902,15605.42283,9.5
"Finland","Europe",1982,74.55,4826933,18533.15761,10.3
"Finland","Europe",1987,74.83,4931729,21141.01223,10.9
"Finland","Europe",1992,75.7,5041039,20647.16499,11.3
"Finland","Europe",1997,77.13,5134406,23723.9502,11.7
"Finland","Europe",2002,78.37,5193039,28204.59057,12.1
"Finland","Europe",2007,79.313,5238460,33207.0844,12.4
"France","Europe",1972,72.38,51732000,16107.19171,7.6
"France","Europe",1977,73.83,53165019,18292.63514,8.4
"France","Europe",1982,74.89,54433565,20293.89746,9
"France","Europe",1987,76.34,55630100,22066.44214,9.7
"France","Europe",1992,77.46,57374179,24703.79615,10.3
"France","Europe",1997,78.64,58623428,25889.78487,10.9
"France","Europe",2002,79.59,59925035,28926.03234,11.4
"France","Europe",2007,80.657,61083916,30470.0167,11.9
"Gabon","Africa",1972,48.69,537977,11401.94841,4.6
"Gabon","Africa",1977,52.79,706367,21745.57328,5.5
"Gabon","Africa",1982,56.564,753874,15113.36194,6.4
"Gabon","Africa",1987,60.19,880397,11864.40844,7.2
"Gabon","Africa",1992,61.366,985739,13522.15752,7.8
"Gabon","Africa",1997,60.461,1126189,14722.84188,8.3
"Gabon","Africa",2002,56.761,1299304,12521.71392,8.7
"Gabon","Africa",2007,56.735,1454867,13206.48452,9.1
"Gambia","Africa",1972,38.308,517101,756.0868363,1.8
"Gambia","Africa",1977,41.842,608274,884.7552507,2.3
"Gambia","Africa",1982,45.58,715523,835.8096108,2.8
"Gambia","Africa",1987,49.265,848406,611.6588611,3.4
"Gambia","Africa",1992,52.644,1025384,665.6244126,3.9
"Gambia","Africa",1997,55.861,1235767,653.7301704,4.5
